library	sample	read1	read2	interleaved
MON0598	MON0598	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_2/A00548_0547_CTan_RSB_MN07/MON0598_S336_R1_001.fastq.gz	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_2/A00548_0547_CTan_RSB_MN07/MON0598_S336_R2_001.fastq.gz	
MON0599	MON0599	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_2/A00548_0547_CTan_RSB_MN07/MON0599_S337_R1_001.fastq.gz	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_2/A00548_0547_CTan_RSB_MN07/MON0599_S337_R2_001.fastq.gz	
MON0600	MON0600	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_2/A00548_0547_CTan_RSB_MN07/MON0600_S338_R1_001.fastq.gz	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_2/A00548_0547_CTan_RSB_MN07/MON0600_S338_R2_001.fastq.gz	
MON0601	MON0601	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_2/A00548_0547_CTan_RSB_MN07/MON0601_S339_R1_001.fastq.gz	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_2/A00548_0547_CTan_RSB_MN07/MON0601_S339_R2_001.fastq.gz	
MON0602	MON0602	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_2/A00548_0547_CTan_RSB_MN07/MON0602_S340_R1_001.fastq.gz	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_2/A00548_0547_CTan_RSB_MN07/MON0602_S340_R2_001.fastq.gz	
MON0603	MON0603	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_2/A00548_0547_CTan_RSB_MN07/MON0603_S341_R1_001.fastq.gz	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_2/A00548_0547_CTan_RSB_MN07/MON0603_S341_R2_001.fastq.gz	
MON0604	MON0604	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_2/A00548_0547_CTan_RSB_MN07/MON0604_S342_R1_001.fastq.gz	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_2/A00548_0547_CTan_RSB_MN07/MON0604_S342_R2_001.fastq.gz	
NCT_6	NCT_6	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_2/A00548_0547_CTan_RSB_MN07/NCT_6_S343_R1_001.fastq.gz	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_2/A00548_0547_CTan_RSB_MN07/NCT_6_S343_R2_001.fastq.gz	
MON0605	MON0605	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_2/A00548_0547_CTan_RSB_MN07/MON0605_S344_R1_001.fastq.gz	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_2/A00548_0547_CTan_RSB_MN07/MON0605_S344_R2_001.fastq.gz	
MON0605_1	MON0605_1	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_2/A00548_0547_CTan_RSB_MN07/MON0605_1_S345_R1_001.fastq.gz	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_2/A00548_0547_CTan_RSB_MN07/MON0605_1_S345_R2_001.fastq.gz	
