sample	species	date	latitude	longitude	elevation	datum	location	collectors	population	seed	notes	meta_source	parsed_date	errors
CCA1192	Eucalyptus obesa		-32.92027778	120.3658333	268	WGS84		Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA1212	Eucalyptus rudis subsp. rudis		-34.40583333	118.73	19	WGS84	Pallinup River, Western Australia.	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA1256	Eucalyptus pleurocarpa		-33.15777778	121.6402778	251	WGS84		Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA1266	Eucalyptus camaldulensis subsp. camaldulensis		-35.69722222	137.5225	11	WGS84		Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA1297	Eucalyptus scoparia		-28.85	151.9666667	1057	WGS84	Walking track to summit of Mount Norman, Queensland.	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA1300	Eucalyptus obliqua		-35.98111111	137.1430556	45	WGS84		Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA1302	Eucalyptus gillenii		-23.725	133.8572222	623	WGS84	Mt Gillen, MacDonnell Ranges, Northern Territory.	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA1342	Eucalyptus petiolaris		-34.48583333	135.8575			Koppio Hills, SA	Dean Nicolle				dp15		
CCA1366	Eucalyptus viminalis subsp. cygnetensis		-34.82944444	135.6886111	91	WGS84	South-west of Port Lincoln, Eyre peninsula, S.A.	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA1370	Eucalyptus diversicolor		-34.81694444	116.6852778	206	WGS84		Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA1372	Eucalyptus fergusonii subsp. dorsiventralis		-32.87083333	151.0208333			Wollombi, NSW	Dean Nicolle				dp15		
CCA1377	Eucalyptus ovata subsp. ovata		-35.96805556	136.7405556	98	WGS84	Cape de Couedic track, Flinders Chase N.P., Kangaroo Island, S.A.	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA1413	Corymbia deserticola subsp. deserticola		-24.185	120.0044444	606	WGS84	Track to Eucalyptus rameliana from Weelarrana, edge of Little Sandy Desert, Western Australia.	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA1419	Eucalyptus ochrophloia		-26.50416667	146.0819444			Charleville, Qld	Dean Nicolle				dp15		
CCA1435	Eucalyptus aenea		-32.29277778	150.4111111			Gungal, NSW	Dean Nicolle				dp15		
CCA1439	Eucalyptus herbertiana		-15.76666667	128.7333333	46	WGS84	Kelly's Knob, Kununurra township, Western Australia.	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA1474	Eucalyptus eremicola subsp. peeneri		-28.10111111	124.2125	388	WGS84	South of Yeo Lake, Great Victoria Desert, Western Australia.	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA1478	Eucalyptus coolabah		-24.73611111	133.1827778	422	WGS84	Palmer River crossing on Stuart HW, south of Alice Springs, NT	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA1496	Eucalyptus melanophloia subsp. nana		-20.88	139.4530556			Mount Isa, Qld	Dean Nicolle				dp15		
CCA1504	Eucalyptus melliodora x E. sideroxylon		-33.91777778	145.9430556	152	WGS84	East of Goolgowi, Mid Western Highway, NSW	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA1505	Eucalyptus melliodora x E. sideroxylon		-33.91777778	145.9430556	152	WGS84	East of Goolgowi, Mid Western Highway, NSW	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
