run	library	sample	include	project	date
2020_Borevitz_UWA_S4	GOL0032	GOL0032	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0033	GOL0033	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0034	GOL0034	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0035	GOL0035	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0036	GOL0036	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0037	GOL0037	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0038	GOL0038	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0039	GOL0039	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0040	GOL0040	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0041	GOL0041	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0056	GOL0056	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0057	GOL0057	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0058	GOL0058	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0059	GOL0059	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0060	GOL0060	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	NSW0001	NSW0001	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	NSW0002	NSW0002	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	NSW0003	NSW0003	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	NSW0004	NSW0004	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	NSW0005	NSW0005	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	NSW0006	NSW0006	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	NSW0007	NSW0007	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	NSW0008	NSW0008	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	NSW0009	NSW0009	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	NSW0010	NSW0010	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	NSW0011	NSW0011	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	NSW0012	NSW0012	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	NSW0013	NSW0013	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	NSW0014	NSW0014	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	NSW0015	NSW0015	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	NSW0016	NSW0016	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	NSW0017	NSW0017	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	NSW0018	NSW0018	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	NSW0019	NSW0019	Y	HBDecra	2020-01
2021_Bothwell_novogene_S4	NCT	NCT	N	HBDecra	2021-03
2021_Bothwell_novogene_S4	NCT_1	NCT_1	N	HBDecra	2021-03
2021_Bothwell_novogene_S4	NCT_3	NCT_3	N	HBDecra	2021-03
2021_Bothwell_novogene_S4	NSW0020	NSW0020	Y	HBDecra	2021-03
2021_Bothwell_novogene_S4	NSW0023	NSW0023	Y	HBDecra	2021-03
2021_Bothwell_novogene_S4	NSW0025	NSW0025	Y	HBDecra	2021-03
2021_Bothwell_novogene_S4	NSW0030	NSW0030	Y	HBDecra	2021-03
2021_Bothwell_novogene_S4	NSW0034	NSW0034	Y	HBDecra	2021-03
2021_Bothwell_novogene_S4	NSW0042	NSW0042	Y	HBDecra	2021-03
2021_Bothwell_novogene_S4	NSW0043	NSW0043	Y	HBDecra	2021-03
2021_Bothwell_novogene_S4	NSW0047	NSW0047	Y	HBDecra	2021-03
2021_Bothwell_novogene_S4	NSW0053	NSW0053	Y	HBDecra	2021-03
2021_Bothwell_novogene_S4	NSW0054	NSW0054	Y	HBDecra	2021-03
2021_Bothwell_novogene_S4	NSW0056	NSW0056	Y	HBDecra	2021-03
2021_Bothwell_novogene_S4	NSW0057	NSW0057	Y	HBDecra	2021-03
2021_Bothwell_novogene_S4	NSW0058	NSW0058	Y	HBDecra	2021-03
2021_Bothwell_novogene_S4	NSW0059	NSW0059	Y	HBDecra	2021-03
2021_Bothwell_novogene_S4	NSW0060	NSW0060	Y	HBDecra	2021-03
2021_Bothwell_novogene_S4	NSW0061	NSW0061	Y	HBDecra	2021-03
2021_Bothwell_novogene_S4	NSW0067_1	NSW0067	Y	HBDecra	2021-03
2021_Bothwell_novogene_S4	NSW0067_2	NSW0067	Y	HBDecra	2021-03
2021_Bothwell_novogene_S4	NSW0067_1	NSW0067_1	Y	HBDecra	2021-03
